timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,6.1507,6.6337,0.0550,0.0687,-0.1500,-0.2964,0.9432,-0.1837,-0.2940,0.9380,-0.1670,-0.2978,0.9399,-0.0694,-0.0368,0.7121,Dark,Phase: Baseline - waiting 5s
0.0000,6.1507,6.6337,0.0059,0.0074,0.0212,-0.3192,0.9474,-0.0103,-0.3184,0.9479,0.0053,-0.3212,0.9470,-0.1229,-0.0278,0.6320,Dark,Phase: Baseline - waiting 5s
0.0200,6.1507,6.6337,0.0024,0.0030,0.0550,-0.3093,0.9494,0.0236,-0.3091,0.9507,0.0392,-0.3116,0.9494,-0.1364,-0.0259,0.6091,Dark,Phase: Baseline - waiting 5s
0.0242,6.1507,6.6337,0.0024,0.0030,0.0655,-0.2994,0.9519,0.0342,-0.2992,0.9536,0.0497,-0.3017,0.9521,-0.1407,-0.0241,0.6028,Dark,Phase: Baseline - waiting 5s
0.0315,6.1507,6.6337,0.0019,0.0024,0.0677,-0.2969,0.9525,0.0364,-0.2968,0.9543,0.0519,-0.2992,0.9528,-0.1417,-0.0238,0.6013,Dark,Phase: Baseline - waiting 5s
0.0412,6.1507,6.6337,0.0015,0.0019,0.0693,-0.2953,0.9529,0.0379,-0.2952,0.9547,0.0535,-0.2977,0.9532,-0.1427,-0.0237,0.6001,Dark,Phase: Baseline - waiting 5s
0.0525,6.1507,6.6337,0.0015,0.0019,0.0717,-0.2946,0.9529,0.0403,-0.2945,0.9548,0.0559,-0.2969,0.9533,-0.1436,-0.0237,0.5989,Dark,Phase: Baseline - waiting 5s
0.0637,6.1507,6.6337,0.0012,0.0015,0.0740,-0.2949,0.9527,0.0426,-0.2948,0.9546,0.0582,-0.2972,0.9530,-0.1443,-0.0238,0.5976,Dark,Phase: Baseline - waiting 5s
0.0744,6.1507,6.6337,0.0010,0.0012,0.0738,-0.2947,0.9528,0.0424,-0.2946,0.9547,0.0580,-0.2970,0.9531,-0.1450,-0.0238,0.5964,Dark,Phase: Baseline - waiting 5s
0.0859,6.1507,6.6337,0.0010,0.0012,0.0768,-0.2945,0.9526,0.0455,-0.2944,0.9546,0.0610,-0.2968,0.9530,-0.1456,-0.0237,0.5952,Dark,Phase: Baseline - waiting 5s
