timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,5.2986,6.7110,0.0000,0.0000,0.1610,-0.3286,0.9307,0.0139,-0.3415,0.9398,0.0909,-0.3452,0.9341,-0.1273,0.0015,0.3007,Dark,StimulusPresenter: Start()
0.0000,5.3175,6.6995,0.0000,0.0000,0.1614,-0.3274,0.9310,0.0180,-0.3402,0.9402,0.0931,-0.3437,0.9344,-0.1279,0.0014,0.3008,Dark,StimulusPresenter: Start()
0.0200,5.3175,6.6995,0.0000,0.0000,0.1614,-0.3274,0.9310,0.0180,-0.3403,0.9402,0.0931,-0.3437,0.9344,-0.1280,0.0014,0.3008,Dark,StimulusPresenter: Start()
0.0318,5.3289,6.7035,0.0000,0.0000,0.1616,-0.3270,0.9311,0.0192,-0.3398,0.9403,0.0937,-0.3432,0.9346,-0.1280,0.0014,0.3008,Dark,StimulusPresenter: Start()
0.0430,5.3315,6.6996,0.0000,0.0000,0.1616,-0.3269,0.9311,0.0198,-0.3397,0.9403,0.0940,-0.3431,0.9346,-0.1281,0.0014,0.3009,Dark,StimulusPresenter: Start()
0.0543,5.3336,6.6961,0.0000,0.0000,0.1619,-0.3263,0.9313,0.0207,-0.3390,0.9406,0.0946,-0.3424,0.9348,-0.1282,0.0014,0.3009,Dark,StimulusPresenter: Start()
0.0653,5.3289,6.7206,0.0000,0.0000,0.1625,-0.3254,0.9315,0.0222,-0.3380,0.9409,0.0956,-0.3414,0.9350,-0.1282,0.0014,0.3009,Dark,StimulusPresenter: Start()
0.0764,5.3244,6.7312,0.0000,0.0000,0.1629,-0.3249,0.9316,0.0229,-0.3376,0.9410,0.0962,-0.3409,0.9352,-0.1282,0.0014,0.3009,Dark,StimulusPresenter: Start()
0.0876,5.3183,6.7397,0.0000,0.0000,0.1636,-0.3245,0.9316,0.0240,-0.3371,0.9412,0.0971,-0.3404,0.9353,-0.1283,0.0014,0.3009,Dark,StimulusPresenter: Start()
0.0987,5.3172,6.7479,0.0000,0.0000,0.1646,-0.3232,0.9319,0.0255,-0.3359,0.9416,0.0983,-0.3392,0.9356,-0.1283,0.0014,0.3009,Dark,StimulusPresenter: Start()
0.1099,5.3210,6.7365,0.0000,0.0000,0.1653,-0.3226,0.9320,0.0264,-0.3353,0.9418,0.0991,-0.3385,0.9357,-0.1283,0.0014,0.3010,Dark,StimulusPresenter: Start()
0.1211,5.3211,6.7236,0.0000,0.0000,0.1664,-0.3217,0.9321,0.0280,-0.3343,0.9420,0.1005,-0.3376,0.9359,-0.1284,0.0014,0.3010,Dark,
0.1321,5.3099,6.7215,0.0000,0.0000,0.1670,-0.3213,0.9321,0.0288,-0.3340,0.9421,0.1011,-0.3372,0.9360,-0.1284,0.0014,0.3010,Dark,
0.1433,5.2999,6.7152,0.0000,0.0000,0.1674,-0.3212,0.9321,0.0294,-0.3339,0.9422,0.1017,-0.3370,0.9360,-0.1284,0.0014,0.3010,Dark,
0.1544,5.2831,6.7010,0.0000,0.0000,0.1681,-0.3207,0.9322,0.0304,-0.3334,0.9423,0.1025,-0.3365,0.9361,-0.1285,0.0014,0.3010,Dark,
0.1661,5.2699,6.6925,0.0000,0.0000,0.1685,-0.3207,0.9321,0.0308,-0.3335,0.9423,0.1029,-0.3366,0.9360,-0.1285,0.0013,0.3010,Dark,
0.1768,5.2602,6.6887,0.0000,0.0000,0.1688,-0.3206,0.9320,0.0311,-0.3334,0.9423,0.1032,-0.3365,0.9360,-0.1285,0.0013,0.3010,Dark,
0.1878,5.2336,6.6820,0.0000,0.0000,0.1693,-0.3204,0.9320,0.0315,-0.3332,0.9423,0.1037,-0.3363,0.9360,-0.1285,0.0013,0.3010,Dark,
0.1989,5.2213,6.6788,0.0000,0.0000,0.1697,-0.3203,0.9320,0.0318,-0.3330,0.9424,0.1040,-0.3362,0.9360,-0.1285,0.0013,0.3010,Dark,
0.2104,5.2126,6.6816,0.0000,0.0000,0.1700,-0.3202,0.9320,0.0321,-0.3330,0.9424,0.1043,-0.3361,0.9360,-0.1286,0.0013,0.3010,Dark,
0.2212,5.1908,6.6726,0.0000,0.0000,0.1705,-0.3200,0.9320,0.0324,-0.3328,0.9424,0.1047,-0.3359,0.9360,-0.1286,0.0013,0.3010,Dark,
0.2322,5.1894,6.6635,0.0000,0.0000,0.1706,-0.3200,0.9319,0.0325,-0.3328,0.9424,0.1049,-0.3359,0.9360,-0.1286,0.0013,0.3010,Dark,
0.2437,5.1891,6.6565,0.0000,0.0000,0.1710,-0.3197,0.9320,0.0329,-0.3326,0.9425,0.1053,-0.3357,0.9361,-0.1286,0.0013,0.3010,Dark,
0.2547,5.1836,6.6498,0.0000,0.0000,0.1709,-0.3199,0.9319,0.0327,-0.3328,0.9424,0.1051,-0.3359,0.9360,-0.1287,0.0013,0.3010,Dark,
0.2658,5.1825,6.6529,0.0000,0.0000,0.1707,-0.3198,0.9320,0.0325,-0.3328,0.9425,0.1049,-0.3358,0.9361,-0.1287,0.0014,0.3010,Dark,
0.2771,5.1830,6.6572,0.0000,0.0000,0.1704,-0.3198,0.9320,0.0322,-0.3327,0.9425,0.1046,-0.3358,0.9361,-0.1288,0.0014,0.3010,Dark,
0.2883,5.1832,6.6544,0.0000,0.0000,0.1693,-0.3201,0.9321,0.0321,-0.3329,0.9424,0.1039,-0.3360,0.9361,-0.1288,0.0014,0.3010,Dark,
0.2991,5.1840,6.6344,0.0000,0.0000,0.1643,-0.3212,0.9326,0.0246,-0.3340,0.9423,0.0977,-0.3372,0.9363,-0.1288,0.0015,0.3010,Dark,
0.3106,5.1716,6.6175,0.0000,0.0000,0.1486,-0.3262,0.9335,0.0101,-0.3382,0.9410,0.0825,-0.3417,0.9362,-0.1289,0.0015,0.3011,Dark,
0.3217,5.1505,6.5726,0.0000,0.0000,0.0857,-0.3444,0.9349,-0.0562,-0.3537,0.9337,0.0175,-0.3588,0.9333,-0.1289,0.0015,0.3011,Dark,
0.3326,5.1433,6.5580,0.0000,0.0000,0.0402,-0.3560,0.9336,-0.1065,-0.3632,0.9256,-0.0306,-0.3696,0.9287,-0.1289,0.0016,0.3011,Dark,
0.3439,5.1280,6.5485,0.0000,0.0000,0.0423,-0.3560,0.9335,-0.1076,-0.3634,0.9254,-0.0301,-0.3700,0.9285,-0.1289,0.0015,0.3010,Dark,
0.3550,5.1093,6.5446,0.0000,0.0000,-0.0001,-0.3688,0.9295,-0.1557,-0.3739,0.9143,-0.0756,-0.3821,0.9210,-0.1289,0.0015,0.3010,Dark,
0.3661,5.1038,6.5456,0.0000,0.0000,-0.0037,-0.3718,0.9283,-0.1615,-0.3767,0.9122,-0.0803,-0.3852,0.9194,-0.1289,0.0015,0.3009,Dark,
0.3772,5.0986,6.5464,0.0000,0.0000,-0.0180,-0.3753,0.9267,-0.1777,-0.3794,0.9080,-0.0957,-0.3884,0.9165,-0.1289,0.0015,0.3009,Dark,
0.3884,5.0989,6.5283,0.0000,0.0000,-0.0071,-0.3761,0.9266,-0.1709,-0.3808,0.9087,-0.0866,-0.3899,0.9168,-0.1289,0.0015,0.3008,Dark,
0.3994,5.1018,6.5348,0.0000,0.0000,-0.0006,-0.3754,0.9269,-0.1665,-0.3805,0.9097,-0.0811,-0.3895,0.9174,-0.1289,0.0015,0.3008,Dark,
0.4107,5.1120,6.5457,0.0000,0.0000,0.0020,-0.3757,0.9268,-0.1675,-0.3810,0.9093,-0.0803,-0.3902,0.9172,-0.1289,0.0015,0.3007,Dark,
0.4218,5.1130,6.5503,0.0000,0.0000,0.0078,-0.3743,0.9273,-0.1632,-0.3800,0.9105,-0.0752,-0.3891,0.9181,-0.1289,0.0015,0.3007,Dark,
0.4328,5.1131,6.5547,0.0000,0.0000,0.0107,-0.3737,0.9275,-0.1617,-0.3795,0.9109,-0.0729,-0.3887,0.9185,-0.1289,0.0015,0.3006,Dark,
0.4440,5.1099,6.5672,0.0000,0.0000,0.0171,-0.3722,0.9280,-0.1577,-0.3785,0.9121,-0.0676,-0.3876,0.9193,-0.1289,0.0015,0.3006,Dark,
0.4553,5.1188,6.5759,0.0000,0.0000,0.0188,-0.3716,0.9282,-0.1570,-0.3780,0.9124,-0.0664,-0.3871,0.9196,-0.1289,0.0016,0.3005,Dark,
0.4664,5.1265,6.5816,0.0000,0.0000,0.0203,-0.3710,0.9284,-0.1564,-0.3776,0.9127,-0.0653,-0.3867,0.9199,-0.1289,0.0016,0.3004,Dark,
0.4777,5.1253,6.5914,0.0000,0.0000,0.0223,-0.3708,0.9284,-0.1558,-0.3775,0.9128,-0.0640,-0.3866,0.9200,-0.1289,0.0016,0.3004,Dark,
0.4886,5.1357,6.5950,0.0000,0.0000,0.0227,-0.3705,0.9286,-0.1558,-0.3772,0.9129,-0.0638,-0.3864,0.9201,-0.1289,0.0017,0.3003,Dark,
0.4997,5.1435,6.6067,0.0000,0.0000,0.0229,-0.3702,0.9287,-0.1562,-0.3769,0.9130,-0.0638,-0.3862,0.9202,-0.1289,0.0017,0.3002,Dark,
0.5110,5.1518,6.6283,0.0000,0.0000,0.0229,-0.3701,0.9287,-0.1571,-0.3767,0.9129,-0.0643,-0.3861,0.9202,-0.1289,0.0018,0.3002,Dark,
0.5221,5.1606,6.6373,0.0000,0.0000,0.0227,-0.3699,0.9288,-0.1577,-0.3766,0.9128,-0.0647,-0.3860,0.9202,-0.1289,0.0018,0.3001,Dark,
0.5331,5.1666,6.6447,0.0000,0.0000,0.0225,-0.3698,0.9288,-0.1583,-0.3765,0.9128,-0.0651,-0.3859,0.9203,-0.1289,0.0019,0.3000,Dark,
0.5443,5.1902,6.6612,0.0000,0.0000,0.0221,-0.3695,0.9290,-0.1594,-0.3761,0.9127,-0.0659,-0.3856,0.9203,-0.1289,0.0019,0.3000,Dark,
0.5554,5.2073,6.6704,0.0000,0.0000,0.0217,-0.3694,0.9290,-0.1600,-0.3760,0.9127,-0.0663,-0.3855,0.9203,-0.1288,0.0020,0.2999,Dark,
0.5665,5.2260,6.6945,0.0000,0.0000,0.0209,-0.3694,0.9290,-0.1614,-0.3759,0.9125,-0.0674,-0.3855,0.9202,-0.1288,0.0020,0.2999,Dark,
0.5778,5.2292,6.7076,0.0000,0.0000,0.0206,-0.3694,0.9291,-0.1619,-0.3758,0.9124,-0.0679,-0.3855,0.9202,-0.1288,0.0020,0.2999,Dark,
0.5889,5.2403,6.7171,0.0000,0.0000,0.0200,-0.3696,0.9290,-0.1628,-0.3760,0.9122,-0.0686,-0.3857,0.9201,-0.1288,0.0021,0.2999,Dark,
0.5999,5.2559,6.7183,0.0000,0.0000,0.0198,-0.3701,0.9288,-0.1634,-0.3765,0.9119,-0.0690,-0.3862,0.9198,-0.1287,0.0021,0.2999,Dark,
0.6112,5.2617,6.7260,0.0000,0.0000,0.0198,-0.3700,0.9288,-0.1636,-0.3764,0.9119,-0.0691,-0.3861,0.9198,-0.1287,0.0021,0.2998,Dark,
0.6224,5.2685,6.7320,0.0000,0.0000,0.0196,-0.3702,0.9287,-0.1640,-0.3766,0.9117,-0.0694,-0.3863,0.9197,-0.1287,0.0021,0.2998,Dark,
0.6334,5.2838,6.7384,0.0000,0.0000,0.0192,-0.3704,0.9287,-0.1648,-0.3768,0.9115,-0.0700,-0.3866,0.9196,-0.1286,0.0021,0.2998,Dark,
0.6447,5.2927,6.7484,0.0000,0.0000,0.0191,-0.3703,0.9287,-0.1651,-0.3766,0.9115,-0.0702,-0.3864,0.9196,-0.1286,0.0021,0.2998,Dark,
0.6562,5.2984,6.7557,0.0000,0.0000,0.0186,-0.3706,0.9286,-0.1657,-0.3769,0.9113,-0.0708,-0.3868,0.9195,-0.1286,0.0021,0.2998,Dark,
0.6668,5.3047,6.7643,0.0000,0.0000,0.0182,-0.3709,0.9285,-0.1664,-0.3772,0.9111,-0.0713,-0.3871,0.9193,-0.1286,0.0021,0.2999,Dark,
0.6780,5.3088,6.7714,0.0000,0.0000,0.0179,-0.3713,0.9283,-0.1669,-0.3776,0.9108,-0.0717,-0.3875,0.9191,-0.1286,0.0021,0.2999,Dark,
0.6894,5.3255,6.7765,0.0000,0.0000,0.0173,-0.3718,0.9282,-0.1675,-0.3779,0.9105,-0.0723,-0.3879,0.9189,-0.1286,0.0021,0.2999,Dark,
0.7002,5.3506,6.7887,0.0000,0.0000,0.0169,-0.3720,0.9281,-0.1682,-0.3782,0.9103,-0.0728,-0.3882,0.9187,-0.1285,0.0021,0.2999,Dark,
0.7114,5.3544,6.7959,0.0000,0.0000,0.0165,-0.3724,0.9279,-0.1687,-0.3785,0.9101,-0.0733,-0.3885,0.9185,-0.1285,0.0021,0.2999,Dark,
0.7227,5.3624,6.8064,0.0000,0.0000,0.0159,-0.3728,0.9278,-0.1694,-0.3788,0.9098,-0.0740,-0.3889,0.9183,-0.1285,0.0021,0.3000,Dark,
0.7337,5.3742,6.8104,0.0000,0.0000,0.0154,-0.3729,0.9277,-0.1700,-0.3789,0.9097,-0.0745,-0.3890,0.9182,-0.1284,0.0021,0.3000,Dark,
0.7448,5.3801,6.8107,0.0000,0.0000,0.0153,-0.3735,0.9275,-0.1702,-0.3794,0.9094,-0.0747,-0.3896,0.9180,-0.1284,0.0020,0.3000,Dark,
0.7560,5.3859,6.8247,0.0000,0.0000,0.0153,-0.3730,0.9277,-0.1704,-0.3790,0.9096,-0.0747,-0.3891,0.9181,-0.1283,0.0020,0.3000,Dark,
0.7670,5.4074,6.8510,0.0000,0.0000,0.0163,-0.3719,0.9281,-0.1699,-0.3778,0.9101,-0.0740,-0.3880,0.9187,-0.1283,0.0020,0.3001,Dark,
0.7783,5.4209,6.8605,0.0000,0.0000,0.0156,-0.3729,0.9277,-0.1710,-0.3788,0.9095,-0.0749,-0.3890,0.9182,-0.1283,0.0020,0.3001,Dark,
0.7896,5.4258,6.8830,0.0000,0.0000,0.0467,-0.3538,0.9342,-0.1403,-0.3617,0.9217,-0.0436,-0.3709,0.9276,-0.1282,0.0020,0.3002,Dark,
0.8004,5.4303,6.9133,0.0000,0.0000,0.0415,-0.3562,0.9335,-0.1416,-0.3638,0.9207,-0.0470,-0.3729,0.9267,-0.1282,0.0020,0.3002,Dark,
