timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,5.0745,6.4343,0.0000,0.0000,0.1027,-0.3847,0.9173,0.0444,-0.3861,0.9214,0.0743,-0.3892,0.9181,-0.1499,-0.0071,0.3447,Dark,StimulusPresenter: Start()
0.0000,5.1168,6.5985,0.0000,0.0000,0.1338,-0.3562,0.9248,-0.0106,-0.3619,0.9322,0.0642,-0.3690,0.9272,-0.1507,-0.0016,0.3104,Dark,StimulusPresenter: Start()
0.0200,5.1854,6.5651,0.0000,0.0000,0.1291,-0.3579,0.9248,-0.0440,-0.3630,0.9308,0.0457,-0.3726,0.9269,-0.1465,0.0011,0.3036,Dark,StimulusPresenter: Start()
0.2219,5.1323,6.5635,0.0000,0.0000,0.1209,-0.3697,0.9213,-0.0549,-0.3746,0.9255,0.0363,-0.3845,0.9224,-0.1454,0.0014,0.3049,Dark,StimulusPresenter: Start()
0.4252,5.0884,6.5766,0.0000,0.0000,0.1249,-0.3745,0.9188,-0.0479,-0.3785,0.9244,0.0417,-0.3887,0.9204,-0.1442,0.0014,0.3046,Dark,
0.6290,5.1970,6.6158,0.0000,0.0000,0.1338,-0.3817,0.9146,-0.0353,-0.3863,0.9217,0.0524,-0.3958,0.9168,-0.1433,0.0009,0.3070,Dark,
0.7340,5.2125,6.6466,0.0000,0.0000,0.1354,-0.3877,0.9118,-0.0318,-0.3928,0.9191,0.0549,-0.4019,0.9140,-0.1427,-0.0001,0.3077,Dark,
0.7496,5.2125,6.6475,0.0000,0.0000,0.1352,-0.3877,0.9118,-0.0320,-0.3928,0.9191,0.0548,-0.4019,0.9140,-0.1427,-0.0001,0.3076,Dark,
0.7642,5.2119,6.6497,0.0000,0.0000,0.1350,-0.3875,0.9119,-0.0320,-0.3927,0.9191,0.0547,-0.4018,0.9141,-0.1427,-0.0001,0.3075,Dark,
0.7756,5.2114,6.6497,0.0000,0.0000,0.1347,-0.3869,0.9122,-0.0322,-0.3921,0.9194,0.0544,-0.4012,0.9144,-0.1426,0.0000,0.3074,Dark,
