timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,4.4576,4.8145,0.0000,0.0000,-0.3358,-0.2418,0.9104,-0.3712,-0.2416,0.8966,-0.3536,-0.2440,0.9030,-0.0888,0.0014,0.5555,Dark,Phase: Baseline - waiting 20s
0.0000,4.4640,4.7467,0.0000,0.0000,-0.3073,-0.2284,0.9238,-0.4124,-0.2276,0.8821,-0.3604,-0.2351,0.9027,-0.0884,0.0020,0.5525,Dark,Phase: Baseline - waiting 20s
0.0200,4.3337,4.7481,0.0000,0.0000,-0.1777,-0.0713,0.9815,-0.3136,-0.0710,0.9469,-0.2459,-0.0799,0.9660,-0.0850,0.0068,0.5417,Dark,Phase: Baseline - waiting 20s
0.2265,4.5113,4.9287,0.0000,0.0000,-0.1902,-0.0689,0.9793,-0.3211,-0.0715,0.9443,-0.2558,-0.0786,0.9635,-0.0796,0.0152,0.5317,Dark,Phase: Baseline - waiting 20s
0.4298,5.0369,5.3758,0.0000,0.0000,-0.2818,-0.2752,0.9192,-0.4333,-0.2848,0.8551,-0.3577,-0.2905,0.8875,-0.0731,0.0231,0.5209,Dark,Phase: Baseline - waiting 20s
0.6337,5.1393,5.4518,0.0000,0.0000,-0.3277,-0.5235,0.7865,-0.5336,-0.5251,0.6630,-0.4307,-0.5402,0.7229,-0.0879,0.0030,0.5112,Dark,Phase: Baseline - waiting 20s
0.8400,5.1939,5.4845,0.0000,0.0000,-0.2876,-0.5540,0.7813,-0.4682,-0.5533,0.6889,-0.3767,-0.5667,0.7327,-0.1035,-0.0144,0.4786,Dark,
1.0461,5.4696,5.9015,0.0000,0.0000,-0.1114,-0.6144,0.7811,-0.3013,-0.6339,0.7123,-0.2036,-0.6368,0.7437,-0.1071,-0.0268,0.4302,Dark,
1.0584,5.5130,6.0437,0.0000,0.0000,-0.0757,-0.6258,0.7763,-0.2673,-0.6500,0.7114,-0.1684,-0.6505,0.7406,-0.1060,-0.0269,0.4299,Dark,
1.0712,5.5320,6.0873,0.0000,0.0000,-0.0821,-0.6086,0.7892,-0.2784,-0.6325,0.7228,-0.1772,-0.6337,0.7530,-0.1050,-0.0267,0.4300,Dark,
1.0803,5.5320,6.0873,0.0000,0.0000,-0.0764,-0.6050,0.7926,-0.2728,-0.6301,0.7270,-0.1715,-0.6306,0.7569,-0.1039,-0.0266,0.4302,Dark,
1.0864,5.5320,6.0873,0.0000,0.0000,-0.0723,-0.5996,0.7970,-0.2688,-0.6258,0.7322,-0.1674,-0.6258,0.7618,-0.1029,-0.0264,0.4312,Dark,
1.0974,5.5320,6.0873,0.0000,0.0000,-0.0680,-0.5941,0.8015,-0.2646,-0.6214,0.7374,-0.1631,-0.6209,0.7668,-0.1017,-0.0263,0.4322,Dark,
