timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,4.9056,5.5774,0.0000,0.0000,-0.8113,-0.4821,0.3308,-0.8262,-0.4796,0.2958,-0.8176,-0.4831,0.3131,-0.1859,0.3662,0.5512,Dark,
0.0000,5.0206,5.7072,0.0000,0.0000,-0.7961,-0.4847,0.3622,-0.8464,-0.4745,0.2416,-0.8189,-0.4884,0.3013,-0.1758,0.3602,0.5286,Dark,
0.0200,5.0136,5.6959,0.0000,0.0000,-0.8092,-0.4793,0.3398,-0.8850,-0.4525,0.1091,-0.8462,-0.4840,0.2231,-0.1597,0.3565,0.4982,Dark,
0.2239,5.0023,5.8116,0.0000,0.0000,-0.8357,-0.4408,0.3277,-0.9062,-0.4160,0.0754,-0.8711,-0.4482,0.2009,-0.1557,0.3607,0.4887,Dark,
0.4262,4.9249,5.7448,0.0000,0.0000,-0.8302,-0.4277,0.3576,-0.9014,-0.4110,0.1360,-0.8650,-0.4366,0.2474,-0.1543,0.3607,0.4901,Dark,
0.6341,4.9580,5.7383,0.0000,0.0000,-0.8324,-0.4155,0.3666,-0.9009,-0.4022,0.1633,-0.8655,-0.4245,0.2659,-0.1520,0.3624,0.4911,Dark,
0.8393,5.0326,5.8717,0.0000,0.0000,-0.8360,-0.4087,0.3661,-0.9038,-0.3952,0.1640,-0.8688,-0.4175,0.2660,-0.1463,0.3633,0.4935,Dark,
1.0448,5.1460,6.0239,0.0000,0.0000,-0.8338,-0.4096,0.3700,-0.9030,-0.3963,0.1658,-0.8674,-0.4187,0.2689,-0.1414,0.3632,0.4936,Dark,
1.2553,5.2387,6.1066,0.0000,0.0000,-0.8306,-0.4168,0.3692,-0.9006,-0.4027,0.1635,-0.8645,-0.4256,0.2673,-0.1381,0.3623,0.4929,Dark,Baseline Start
1.4568,5.1988,6.0779,0.0000,0.0000,-0.8285,-0.4160,0.3749,-0.8997,-0.4017,0.1707,-0.8630,-0.4247,0.2737,-0.1334,0.3617,0.4915,Dark,Baseline Start
1.6628,5.2782,6.1321,0.0000,0.0000,-0.8271,-0.4146,0.3795,-0.8967,-0.4019,0.1855,-0.8606,-0.4232,0.2834,-0.1323,0.3614,0.4908,Dark,Baseline Start
1.8417,5.2634,6.1559,0.0000,0.0000,-0.8312,-0.4026,0.3833,-0.8998,-0.3910,0.1938,-0.8643,-0.4113,0.2895,-0.1340,0.3631,0.4878,Dark,Baseline Start
1.8561,5.2637,6.1576,0.0000,0.0000,-0.8315,-0.4020,0.3833,-0.9000,-0.3904,0.1938,-0.8645,-0.4108,0.2896,-0.1342,0.3632,0.4875,Dark,Baseline Start
1.8638,5.2637,6.1576,0.0000,0.0000,-0.8316,-0.4018,0.3834,-0.9001,-0.3902,0.1939,-0.8646,-0.4106,0.2897,-0.1343,0.3632,0.4873,Dark,Baseline Start
1.8738,5.2637,6.1584,0.0000,0.0000,-0.8316,-0.4019,0.3833,-0.9000,-0.3904,0.1939,-0.8645,-0.4107,0.2896,-0.1344,0.3632,0.4871,Dark,Baseline Start
1.8930,5.2637,6.1584,0.0000,0.0000,-0.8314,-0.4023,0.3832,-0.8998,-0.3908,0.1939,-0.8644,-0.4111,0.2895,-0.1345,0.3632,0.4869,Dark,Baseline Start
1.9054,5.2637,6.1584,0.0000,0.0000,-0.8310,-0.4032,0.3832,-0.8994,-0.3917,0.1940,-0.8640,-0.4120,0.2895,-0.1346,0.3630,0.4865,Dark,Baseline Start
1.9168,5.2637,6.1584,0.0000,0.0000,-0.8310,-0.4033,0.3831,-0.8993,-0.3919,0.1940,-0.8639,-0.4121,0.2895,-0.1343,0.3630,0.4862,Dark,Baseline Start
1.9277,5.2637,6.1584,0.0000,0.0000,-0.8313,-0.4031,0.3828,-0.8995,-0.3918,0.1936,-0.8641,-0.4120,0.2892,-0.1345,0.3629,0.4860,Dark,Baseline Start
1.9399,5.2637,6.1584,0.0000,0.0000,-0.8314,-0.4027,0.3828,-0.8996,-0.3914,0.1937,-0.8643,-0.4116,0.2892,-0.1346,0.3629,0.4858,Dark,Baseline Start
1.9504,5.2637,6.1584,0.0000,0.0000,-0.8317,-0.4024,0.3827,-0.8998,-0.3911,0.1936,-0.8645,-0.4112,0.2891,-0.1348,0.3629,0.4857,Dark,Baseline Start
1.9615,5.2637,6.1584,0.0000,0.0000,-0.8317,-0.4025,0.3824,-0.8998,-0.3911,0.1934,-0.8645,-0.4113,0.2889,-0.1349,0.3628,0.4855,Dark,Baseline Start
1.9728,5.2637,6.1584,0.0000,0.0000,-0.8315,-0.4028,0.3825,-0.8996,-0.3915,0.1934,-0.8643,-0.4117,0.2889,-0.1350,0.3627,0.4853,Dark,Baseline Start
1.9832,5.2637,6.1584,0.0000,0.0000,-0.8313,-0.4033,0.3825,-0.8994,-0.3920,0.1935,-0.8641,-0.4122,0.2890,-0.1348,0.3625,0.4850,Dark,Baseline Start
1.9937,5.2637,6.1584,0.0000,0.0000,-0.8308,-0.4041,0.3827,-0.8990,-0.3928,0.1937,-0.8636,-0.4130,0.2892,-0.1349,0.3624,0.4848,Dark,Baseline Start
2.0057,5.2637,6.1584,0.0000,0.0000,-0.8303,-0.4050,0.3828,-0.8985,-0.3938,0.1939,-0.8631,-0.4139,0.2893,-0.1350,0.3623,0.4846,Dark,Baseline Start
2.0167,5.2637,6.1584,0.0000,0.0000,-0.8298,-0.4054,0.3835,-0.8982,-0.3942,0.1946,-0.8627,-0.4143,0.2900,-0.1351,0.3622,0.4844,Dark,Baseline Start
2.0348,5.2637,6.1584,0.0000,0.0000,-0.8297,-0.4053,0.3839,-0.8981,-0.3941,0.1951,-0.8626,-0.4142,0.2905,-0.1352,0.3622,0.4843,Dark,Baseline Start
