timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,4.4413,5.0259,0.0000,0.0000,0.1513,-0.3942,0.9065,0.0928,-0.3977,0.9128,0.1226,-0.4018,0.9075,-0.0835,-0.0162,0.5157,Dark,Phase: Baseline - waiting 5s
0.0000,4.6492,5.2490,0.0000,0.0000,-0.2400,-0.5073,0.8277,-0.4046,-0.4904,0.7719,-0.3217,-0.5161,0.7938,-0.0320,-0.0136,0.5150,Dark,Phase: Baseline - waiting 5s
0.0200,4.6140,5.0714,0.0000,0.0000,-0.3236,-0.5229,0.7886,-0.5891,-0.4937,0.6397,-0.4566,-0.5409,0.7064,-0.0220,-0.0059,0.5453,Dark,Phase: Baseline - waiting 5s
0.0305,4.6041,5.0257,0.0000,0.0000,-0.3702,-0.4763,0.7975,-0.6300,-0.4321,0.6453,-0.5028,-0.4868,0.7144,-0.0310,-0.0073,0.5554,Dark,Phase: Baseline - waiting 5s
0.0450,4.5243,4.9756,0.0000,0.0000,-0.3934,-0.4518,0.8007,-0.6480,-0.4054,0.6448,-0.5241,-0.4610,0.7161,-0.0350,-0.0088,0.5575,Dark,Phase: Baseline - waiting 5s
0.0554,4.4989,4.9656,0.0000,0.0000,-0.4027,-0.4545,0.7945,-0.6548,-0.4080,0.6362,-0.5321,-0.4635,0.7086,-0.0382,-0.0106,0.5572,Dark,Phase: Baseline - waiting 5s
0.0667,4.4798,4.9632,0.0000,0.0000,-0.4216,-0.4460,0.7895,-0.6690,-0.3982,0.6276,-0.5489,-0.4542,0.7017,-0.0413,-0.0129,0.5566,Dark,Phase: Baseline - waiting 5s
0.0786,4.4892,4.9595,0.0000,0.0000,-0.4398,-0.4407,0.7825,-0.6814,-0.3913,0.6185,-0.5644,-0.4477,0.6935,-0.0447,-0.0154,0.5553,Dark,Phase: Baseline - waiting 5s
0.0891,4.4996,4.9730,0.0000,0.0000,-0.4568,-0.4388,0.7738,-0.6936,-0.3870,0.6076,-0.5792,-0.4443,0.6834,-0.0479,-0.0177,0.5542,Dark,Phase: Baseline - waiting 5s
0.1006,4.5133,4.9938,0.0000,0.0000,-0.4672,-0.4396,0.7671,-0.6995,-0.3865,0.6011,-0.5874,-0.4440,0.6767,-0.0518,-0.0201,0.5530,Dark,Phase: Baseline - waiting 5s
0.1108,4.5133,4.9938,0.0000,0.0000,-0.4725,-0.4392,0.7641,-0.7037,-0.3854,0.5969,-0.5922,-0.4432,0.6730,-0.0557,-0.0220,0.5522,Dark,Phase: Baseline - waiting 5s
0.1223,4.5172,5.0061,0.0000,0.0000,-0.4799,-0.4303,0.7645,-0.7059,-0.3780,0.5990,-0.5968,-0.4345,0.6746,-0.0599,-0.0235,0.5518,Dark,Phase: Baseline - waiting 5s
0.1363,4.5176,5.0063,0.0000,0.0000,-0.4871,-0.4209,0.7652,-0.7100,-0.3696,0.5994,-0.6025,-0.4253,0.6753,-0.0644,-0.0248,0.5515,Dark,Phase: Baseline - waiting 5s
