timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,5.4554,6.2368,0.0008,0.0006,0.0742,-0.3372,0.9385,0.0430,-0.3373,0.9404,0.0589,-0.3392,0.9389,0.0247,0.0028,0.6003,Dark,Experiment session started
0.0000,5.4554,6.2368,0.0002,0.0002,0.0609,-0.3433,0.9373,0.0297,-0.3433,0.9387,0.0456,-0.3453,0.9374,0.0240,-0.0019,0.6045,Dark,Experiment session started
0.0200,5.4554,6.2368,0.0002,0.0002,0.0543,-0.3433,0.9377,0.0231,-0.3434,0.9389,0.0390,-0.3453,0.9377,0.0238,-0.0027,0.6056,Dark,Experiment session started
0.0321,5.4554,6.2368,0.0002,0.0002,0.0537,-0.3446,0.9372,0.0225,-0.3447,0.9385,0.0384,-0.3466,0.9372,0.0237,-0.0030,0.6057,Dark,Experiment session started
0.0430,5.4554,6.2368,0.0002,0.0002,0.0560,-0.3436,0.9374,0.0248,-0.3438,0.9387,0.0407,-0.3457,0.9374,0.0234,-0.0032,0.6059,Dark,Experiment session started
0.0534,5.4554,6.2368,0.0001,0.0002,0.0464,-0.3424,0.9384,0.0151,-0.3425,0.9394,0.0311,-0.3445,0.9383,0.0232,-0.0034,0.6060,Dark,Experiment session started
0.0651,5.4554,6.2368,0.0001,0.0001,0.0451,-0.3421,0.9386,0.0138,-0.3422,0.9395,0.0298,-0.3441,0.9384,0.0231,-0.0035,0.6062,Dark,Experiment session started
0.0771,5.4554,6.2368,0.0001,0.0001,0.0336,-0.3398,0.9399,0.0022,-0.3399,0.9405,0.0182,-0.3419,0.9396,0.0227,-0.0035,0.6064,Dark,Experiment session started
0.0876,5.4554,6.2368,0.0001,0.0001,0.0389,-0.3199,0.9466,0.0075,-0.3200,0.9474,0.0235,-0.3220,0.9464,0.0224,-0.0036,0.6066,Dark,Experiment session started
0.0982,5.4554,6.2368,0.0001,0.0001,0.0375,-0.3181,0.9473,0.0061,-0.3181,0.9480,0.0221,-0.3201,0.9471,0.0222,-0.0036,0.6068,Dark,Experiment session started
