timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,6.2559,7.8346,0.0000,0.0000,-0.1578,-0.4613,0.8731,-0.4436,-0.4278,0.7875,-0.3019,-0.4677,0.8307,-0.0760,-0.0901,0.6673,Dark,Experiment session started
0.0000,5.7203,7.4694,0.0000,0.0000,-0.1817,-0.4787,0.8590,-0.4583,-0.4485,0.7673,-0.3207,-0.4861,0.8130,-0.0819,-0.0917,0.6642,Dark,Experiment session started
0.0200,5.7203,7.4694,0.0000,0.0000,-0.1895,-0.4730,0.8605,-0.4654,-0.4414,0.7671,-0.3283,-0.4797,0.8137,-0.0839,-0.0910,0.6634,Dark,Experiment session started
0.0235,5.5940,7.3289,0.0000,0.0000,-0.1960,-0.4654,0.8631,-0.4690,-0.4338,0.7694,-0.3334,-0.4718,0.8162,-0.0839,-0.0909,0.6634,Dark,Experiment session started
0.0345,5.5290,7.2140,0.0000,0.0000,-0.2477,-0.4361,0.8651,-0.5100,-0.4000,0.7615,-0.3811,-0.4397,0.8133,-0.0845,-0.0907,0.6632,Dark,Experiment session started
0.0456,5.5230,7.0777,0.0000,0.0000,-0.2476,-0.4370,0.8647,-0.5031,-0.4025,0.7648,-0.3772,-0.4407,0.8146,-0.0851,-0.0903,0.6627,Dark,Experiment session started
0.0568,5.6168,7.0643,0.0000,0.0000,-0.3216,-0.4261,0.8456,-0.5621,-0.3847,0.7322,-0.4453,-0.4256,0.7878,-0.0856,-0.0899,0.6624,Dark,Experiment session started
0.0684,5.6917,7.0411,0.0000,0.0000,-0.3315,-0.4219,0.8439,-0.5691,-0.3798,0.7292,-0.4539,-0.4209,0.7854,-0.0860,-0.0894,0.6620,Dark,Experiment session started
0.0791,5.7643,7.0321,0.0000,0.0000,-0.3404,-0.4070,0.8476,-0.5752,-0.3650,0.7321,-0.4616,-0.4058,0.7888,-0.0864,-0.0888,0.6617,Dark,Experiment session started
0.0901,5.7693,7.0159,0.0000,0.0000,-0.3549,-0.4006,0.8447,-0.5861,-0.3577,0.7270,-0.4745,-0.3988,0.7847,-0.0867,-0.0883,0.6614,Dark,Experiment session started
0.1013,5.7410,7.0017,0.0000,0.0000,-0.3663,-0.3956,0.8422,-0.5947,-0.3521,0.7228,-0.4846,-0.3934,0.7813,-0.0871,-0.0876,0.6610,Dark,Experiment session started
