timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,stimulus_event
0.0000,5.1891,5.4127,0.0000,0.0000,-0.4347,-0.1426,0.8892,-0.7453,-0.1857,0.6403,-0.5969,-0.2568,0.7601,-0.0613,-0.0160,0.5518,Dark,Phase: Baseline - waiting 20s
0.0000,5.2081,5.4321,0.0000,0.0000,-0.4210,-0.1551,0.8937,-0.7420,-0.1952,0.6414,-0.5892,-0.2702,0.7615,-0.0570,-0.0179,0.5521,Dark,Phase: Baseline - waiting 20s
0.0200,5.2107,5.4441,0.0000,0.0000,-0.4182,-0.1556,0.8949,-0.7403,-0.1955,0.6433,-0.5870,-0.2707,0.7630,-0.0566,-0.0182,0.5522,Dark,Phase: Baseline - waiting 20s
0.0237,5.2107,5.4441,0.0000,0.0000,-0.4184,-0.1555,0.8949,-0.7404,-0.1953,0.6432,-0.5872,-0.2705,0.7629,-0.0566,-0.0182,0.5522,Dark,Phase: Baseline - waiting 20s
0.0352,5.2129,5.4531,0.0000,0.0000,-0.4178,-0.1543,0.8954,-0.7403,-0.1941,0.6437,-0.5869,-0.2694,0.7635,-0.0567,-0.0182,0.5521,Dark,Phase: Baseline - waiting 20s
0.0462,5.2111,5.4621,0.0000,0.0000,-0.4179,-0.1524,0.8956,-0.7408,-0.1923,0.6436,-0.5873,-0.2678,0.7638,-0.0568,-0.0181,0.5521,Dark,Phase: Baseline - waiting 20s
0.0574,5.2064,5.4670,0.0000,0.0000,-0.4175,-0.1514,0.8960,-0.7407,-0.1916,0.6439,-0.5870,-0.2670,0.7643,-0.0569,-0.0181,0.5520,Dark,Phase: Baseline - waiting 20s
0.0683,5.2101,5.4698,0.0000,0.0000,-0.4175,-0.1506,0.8961,-0.7408,-0.1911,0.6440,-0.5871,-0.2664,0.7645,-0.0571,-0.0181,0.5519,Dark,Phase: Baseline - waiting 20s
0.0799,5.2154,5.4725,0.0000,0.0000,-0.4175,-0.1492,0.8964,-0.7410,-0.1897,0.6442,-0.5872,-0.2650,0.7648,-0.0573,-0.0181,0.5519,Dark,Phase: Baseline - waiting 20s
0.0905,5.2171,5.4734,0.0000,0.0000,-0.4174,-0.1484,0.8965,-0.7410,-0.1891,0.6443,-0.5872,-0.2644,0.7651,-0.0575,-0.0180,0.5518,Dark,Phase: Baseline - waiting 20s
0.1018,5.2132,5.4739,0.0000,0.0000,-0.4175,-0.1479,0.8966,-0.7411,-0.1889,0.6443,-0.5872,-0.2640,0.7652,-0.0577,-0.0179,0.5518,Dark,Phase: Baseline - waiting 20s
0.1131,5.2121,5.4678,0.0000,0.0000,-0.4177,-0.1471,0.8966,-0.7413,-0.1881,0.6443,-0.5875,-0.2632,0.7652,-0.0579,-0.0179,0.5517,Dark,Phase: Baseline - waiting 20s
0.1244,5.2149,5.4635,0.0000,0.0000,-0.4180,-0.1470,0.8965,-0.7415,-0.1881,0.6441,-0.5877,-0.2632,0.7651,-0.0582,-0.0178,0.5517,Dark,Phase: Baseline - waiting 20s
0.1352,5.2211,5.4490,0.0000,0.0000,-0.4189,-0.1464,0.8962,-0.7422,-0.1880,0.6433,-0.5885,-0.2628,0.7646,-0.0585,-0.0178,0.5516,Dark,Phase: Baseline - waiting 20s
0.1464,5.2203,5.4403,0.0000,0.0000,-0.4196,-0.1453,0.8960,-0.7427,-0.1874,0.6428,-0.5890,-0.2621,0.7644,-0.0588,-0.0177,0.5516,Dark,Phase: Baseline - waiting 20s
0.1578,5.2189,5.4354,0.0000,0.0000,-0.4201,-0.1444,0.8959,-0.7432,-0.1868,0.6425,-0.5895,-0.2614,0.7643,-0.0591,-0.0176,0.5516,Dark,Phase: Baseline - waiting 20s
0.1689,5.2239,5.4224,0.0000,0.0000,-0.4211,-0.1434,0.8956,-0.7441,-0.1861,0.6416,-0.5905,-0.2606,0.7638,-0.0595,-0.0175,0.5517,Dark,Phase: Baseline - waiting 20s
0.1803,5.2171,5.4152,0.0000,0.0000,-0.4217,-0.1421,0.8955,-0.7446,-0.1851,0.6413,-0.5911,-0.2595,0.7637,-0.0599,-0.0174,0.5517,Dark,Phase: Baseline - waiting 20s
0.1911,5.2115,5.4085,0.0000,0.0000,-0.4220,-0.1411,0.8956,-0.7448,-0.1847,0.6412,-0.5912,-0.2588,0.7638,-0.0603,-0.0173,0.5516,Dark,Phase: Baseline - waiting 20s
0.2021,5.1981,5.3914,0.0000,0.0000,-0.4213,-0.1403,0.8960,-0.7444,-0.1846,0.6418,-0.5905,-0.2585,0.7645,-0.0606,-0.0173,0.5516,Dark,Phase: Baseline - waiting 20s
0.2130,5.1932,5.3826,0.0000,0.0000,-0.4224,-0.1397,0.8956,-0.7452,-0.1844,0.6408,-0.5914,-0.2581,0.7639,-0.0609,-0.0173,0.5516,Dark,Phase: Baseline - waiting 20s
0.2242,5.1878,5.3635,0.0000,0.0000,-0.4208,-0.1396,0.8964,-0.7440,-0.1847,0.6422,-0.5899,-0.2582,0.7651,-0.0613,-0.0173,0.5516,Dark,Phase: Baseline - waiting 20s
0.2354,5.1948,5.3375,0.0000,0.0000,-0.4201,-0.1395,0.8967,-0.7435,-0.1849,0.6426,-0.5892,-0.2583,0.7656,-0.0616,-0.0173,0.5516,Dark,Phase: Baseline - waiting 20s
0.2475,5.1980,5.3302,0.0000,0.0000,-0.4202,-0.1392,0.8967,-0.7437,-0.1847,0.6425,-0.5894,-0.2581,0.7655,-0.0619,-0.0173,0.5516,Dark,Phase: Baseline - waiting 20s
0.2577,5.1878,5.3263,0.0000,0.0000,-0.4200,-0.1389,0.8968,-0.7435,-0.1846,0.6427,-0.5891,-0.2579,0.7658,-0.0622,-0.0173,0.5515,Dark,Phase: Baseline - waiting 20s
0.2690,5.1764,5.3073,0.0000,0.0000,-0.4191,-0.1387,0.8973,-0.7428,-0.1848,0.6435,-0.5882,-0.2579,0.7665,-0.0625,-0.0173,0.5515,Dark,Phase: Baseline - waiting 20s
0.2802,5.1739,5.3016,0.0000,0.0000,-0.4188,-0.1383,0.8975,-0.7426,-0.1848,0.6437,-0.5879,-0.2577,0.7668,-0.0628,-0.0174,0.5515,Dark,Phase: Baseline - waiting 20s
0.2921,5.1706,5.2973,0.0000,0.0000,-0.4189,-0.1383,0.8974,-0.7426,-0.1851,0.6437,-0.5879,-0.2579,0.7668,-0.0630,-0.0174,0.5515,Dark,Phase: Baseline - waiting 20s
0.3023,5.1675,5.2667,0.0000,0.0000,-0.4188,-0.1384,0.8975,-0.7425,-0.1855,0.6437,-0.5876,-0.2581,0.7668,-0.0633,-0.0175,0.5514,Dark,Phase: Baseline - waiting 20s
