timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,event_name,stimulus_event
0.0000,4.7408,5.9207,0.0000,0.0000,-0.0400,-0.2881,0.9568,-0.1655,-0.2880,0.9432,-0.0998,-0.2999,0.9488,-0.0445,0.0203,-0.1269,Normal,"VideoStart","clip=anim1 duration=236.57s"
0.0000,4.6846,5.8977,0.0000,0.0000,-0.0798,-0.2881,0.9543,-0.2252,-0.2859,0.9314,-0.1494,-0.3010,0.9419,-0.0449,0.0205,-0.1270,Normal,,""
0.0200,4.6846,5.8977,0.0000,0.0000,-0.0798,-0.2881,0.9543,-0.2252,-0.2859,0.9314,-0.1494,-0.3010,0.9419,-0.0449,0.0205,-0.1270,Normal,,""
0.0259,4.6860,5.9045,0.0000,0.0000,-0.0755,-0.2868,0.9550,-0.2252,-0.2847,0.9318,-0.1472,-0.3001,0.9425,-0.0449,0.0206,-0.1270,Normal,,""
0.0378,4.6901,5.9114,0.0000,0.0000,-0.0740,-0.2861,0.9554,-0.2274,-0.2839,0.9315,-0.1475,-0.2998,0.9425,-0.0450,0.0206,-0.1270,Normal,,""
0.0479,4.6927,5.9133,0.0000,0.0000,-0.0716,-0.2854,0.9557,-0.2289,-0.2833,0.9313,-0.1470,-0.2995,0.9427,-0.0451,0.0206,-0.1270,Normal,,""
0.0600,4.7012,5.9148,0.0000,0.0000,-0.0742,-0.2891,0.9544,-0.2347,-0.2867,0.9288,-0.1512,-0.3034,0.9408,-0.0452,0.0206,-0.1270,Normal,,""
0.0713,4.7131,5.9156,0.0000,0.0000,-0.0844,-0.2877,0.9540,-0.2505,-0.2846,0.9253,-0.1642,-0.3023,0.9390,-0.0452,0.0206,-0.1269,Normal,,""
0.0821,4.7131,5.9156,0.0000,0.0000,-0.0846,-0.2876,0.9540,-0.2508,-0.2846,0.9253,-0.1644,-0.3022,0.9389,-0.0453,0.0206,-0.1269,Normal,,""
0.0956,4.7246,5.9305,0.0000,0.0000,-0.0605,-0.2857,0.9564,-0.2358,-0.2836,0.9295,-0.1446,-0.3017,0.9424,-0.0454,0.0206,-0.1269,Normal,,""
0.1039,4.7257,5.9320,0.0000,0.0000,-0.0645,-0.2863,0.9560,-0.2419,-0.2839,0.9278,-0.1497,-0.3023,0.9414,-0.0455,0.0206,-0.1269,Normal,,""
0.1154,4.7276,5.9328,0.0000,0.0000,-0.0634,-0.2860,0.9561,-0.2429,-0.2836,0.9277,-0.1495,-0.3023,0.9414,-0.0456,0.0206,-0.1269,Normal,,""
0.1263,4.7290,5.9303,0.0000,0.0000,-0.0614,-0.2855,0.9564,-0.2430,-0.2832,0.9277,-0.1486,-0.3021,0.9416,-0.0457,0.0206,-0.1268,Normal,,""
0.1374,4.7397,5.9293,0.0000,0.0000,-0.0555,-0.2841,0.9572,-0.2410,-0.2821,0.9286,-0.1445,-0.3012,0.9426,-0.0457,0.0205,-0.1268,Normal,,""
0.1486,4.7380,5.9315,0.0000,0.0000,-0.0537,-0.2837,0.9574,-0.2409,-0.2817,0.9288,-0.1435,-0.3009,0.9428,-0.0458,0.0205,-0.1268,Normal,,""
0.1596,4.7363,5.9318,0.0000,0.0000,-0.0518,-0.2829,0.9578,-0.2406,-0.2811,0.9290,-0.1424,-0.3004,0.9431,-0.0459,0.0205,-0.1267,Normal,,""
0.1710,4.7497,5.9310,0.0000,0.0000,-0.0489,-0.2816,0.9583,-0.2406,-0.2799,0.9294,-0.1409,-0.2994,0.9437,-0.0459,0.0205,-0.1267,Normal,,""
0.1818,4.7453,5.9297,0.0000,0.0000,-0.0480,-0.2812,0.9584,-0.2409,-0.2796,0.9294,-0.1405,-0.2992,0.9438,-0.0460,0.0205,-0.1267,Normal,,""
0.1927,4.7418,5.9359,0.0000,0.0000,-0.0470,-0.2808,0.9586,-0.2412,-0.2792,0.9295,-0.1402,-0.2990,0.9439,-0.0460,0.0205,-0.1266,Normal,,""
0.2042,4.7349,5.9387,0.0000,0.0000,-0.0459,-0.2803,0.9588,-0.2422,-0.2787,0.9293,-0.1400,-0.2987,0.9440,-0.0461,0.0204,-0.1265,Normal,,""
0.2153,4.7317,5.9361,0.0000,0.0000,-0.0445,-0.2799,0.9590,-0.2418,-0.2784,0.9295,-0.1391,-0.2985,0.9442,-0.0461,0.0204,-0.1265,Normal,,""
0.2265,4.7201,5.9324,0.0000,0.0000,-0.0440,-0.2802,0.9589,-0.2431,-0.2787,0.9291,-0.1395,-0.2989,0.9440,-0.0462,0.0204,-0.1265,Normal,,""
0.2374,4.7118,5.9276,0.0000,0.0000,-0.0436,-0.2804,0.9589,-0.2436,-0.2789,0.9289,-0.1395,-0.2993,0.9439,-0.0462,0.0204,-0.1264,Normal,,""
0.2485,4.7052,5.9245,0.0000,0.0000,-0.0434,-0.2807,0.9588,-0.2442,-0.2792,0.9287,-0.1397,-0.2996,0.9438,-0.0463,0.0204,-0.1265,Normal,,""
0.2594,4.7003,5.9218,0.0000,0.0000,-0.0430,-0.2812,0.9587,-0.2444,-0.2796,0.9285,-0.1397,-0.3001,0.9436,-0.0463,0.0204,-0.1264,Normal,,""
0.2706,4.7016,5.9190,0.0000,0.0000,-0.0422,-0.2812,0.9587,-0.2448,-0.2797,0.9284,-0.1394,-0.3003,0.9436,-0.0463,0.0203,-0.1264,Normal,,""
0.2820,4.7046,5.9188,0.0000,0.0000,-0.0419,-0.2814,0.9587,-0.2450,-0.2799,0.9282,-0.1393,-0.3006,0.9435,-0.0463,0.0203,-0.1264,Normal,,""
0.2954,4.7123,5.9142,0.0000,0.0000,-0.0410,-0.2813,0.9587,-0.2453,-0.2798,0.9282,-0.1390,-0.3006,0.9436,-0.0464,0.0203,-0.1264,Normal,,""
0.3040,4.7164,5.9150,0.0000,0.0000,-0.0400,-0.2809,0.9589,-0.2446,-0.2794,0.9285,-0.1382,-0.3002,0.9438,-0.0464,0.0202,-0.1264,Normal,,""
0.3153,4.7332,5.9158,0.0000,0.0000,-0.0378,-0.2798,0.9593,-0.2435,-0.2785,0.9291,-0.1365,-0.2993,0.9443,-0.0464,0.0202,-0.1264,Normal,,""
0.3269,4.7462,5.9619,0.0000,0.0000,0.0348,-0.2488,0.9679,-0.1687,-0.2517,0.9530,-0.0618,-0.2700,0.9609,-0.0464,0.0202,-0.1264,Normal,,""
0.3377,4.7445,5.9602,0.0000,0.0000,0.0850,-0.2265,0.9703,-0.1068,-0.2316,0.9669,-0.0053,-0.2475,0.9689,-0.0463,0.0202,-0.1263,Normal,,""
0.3495,4.7469,5.9571,0.0000,0.0000,0.1124,-0.2132,0.9705,-0.0772,-0.2193,0.9726,0.0235,-0.2345,0.9718,-0.0464,0.0202,-0.1263,Normal,,""
0.3598,4.7476,5.9517,0.0000,0.0000,0.0952,-0.2202,0.9708,-0.0816,-0.2255,0.9708,0.0120,-0.2398,0.9707,-0.0464,0.0202,-0.1263,Normal,,""
0.3711,4.7464,5.9470,0.0000,0.0000,0.1184,-0.2104,0.9704,-0.0560,-0.2164,0.9747,0.0366,-0.2301,0.9725,-0.0463,0.0201,-0.1263,Normal,,""
0.3830,4.7446,5.9415,0.0000,0.0000,0.1225,-0.2120,0.9696,-0.0464,-0.2182,0.9748,0.0433,-0.2313,0.9719,-0.0463,0.0201,-0.1263,Normal,,""
0.3939,4.7407,5.9362,0.0000,0.0000,0.1235,-0.2129,0.9692,-0.0434,-0.2191,0.9747,0.0453,-0.2320,0.9717,-0.0462,0.0201,-0.1263,Normal,,""
0.4044,4.7376,5.9316,0.0000,0.0000,0.1514,-0.1988,0.9683,-0.0122,-0.2056,0.9786,0.0750,-0.2179,0.9731,-0.0462,0.0200,-0.1262,Normal,,""
0.4162,4.7399,5.9281,0.0000,0.0000,0.1529,-0.2003,0.9677,-0.0070,-0.2071,0.9783,0.0783,-0.2191,0.9726,-0.0462,0.0200,-0.1262,Normal,,""
0.4267,4.7440,5.9325,0.0000,0.0000,0.1446,-0.2052,0.9680,-0.0140,-0.2117,0.9772,0.0705,-0.2236,0.9721,-0.0461,0.0200,-0.1262,Normal,,""
0.4380,4.7509,5.9374,0.0000,0.0000,0.1482,-0.2044,0.9676,-0.0087,-0.2110,0.9775,0.0749,-0.2227,0.9720,-0.0461,0.0200,-0.1262,Normal,,""
