timestamp_sec,left_pupil_mm,right_pupil_mm,left_blink,right_blink,left_gaze_x,left_gaze_y,left_gaze_z,right_gaze_x,right_gaze_y,right_gaze_z,combined_gaze_x,combined_gaze_y,combined_gaze_z,origin_x,origin_y,origin_z,light_condition,event_name,stimulus_event
0.0000,5.4935,6.7440,0.0000,0.0000,0.8564,-0.4778,0.1957,0.8491,-0.4771,0.2266,0.8517,-0.4801,0.2102,0.4663,0.0084,-0.1608,Dark,"Experiment Configuration","Version: 2.0.0"
0.0000,4.0787,5.5664,0.0000,0.0000,0.8226,-0.5602,0.0976,0.8061,-0.5613,0.1876,0.8109,-0.5683,0.1397,0.4704,-0.0068,-0.1545,Dark,,""
0.0200,3.9668,5.4182,0.0000,0.0000,0.8381,-0.5453,-0.0147,0.8151,-0.5548,0.1667,0.8212,-0.5664,0.0694,0.4719,-0.0171,-0.1499,Dark,,""
0.2255,4.2557,5.7721,0.0000,0.0000,0.6276,-0.7712,-0.1065,0.5804,-0.7926,0.1868,0.5918,-0.8056,0.0283,0.4741,-0.0206,-0.1493,Dark,,""
0.4322,4.5362,6.1569,0.0000,0.0000,0.6472,-0.7494,-0.1398,0.6046,-0.7743,0.1869,0.6135,-0.7896,0.0106,0.4673,-0.0112,-0.1476,Dark,,""
0.6379,4.6380,6.3705,0.0000,0.0000,0.7127,-0.6630,-0.2289,0.7101,-0.7004,0.0721,0.7006,-0.7077,-0.0912,0.4482,-0.0036,-0.1520,Dark,,""
0.8421,4.7092,6.4534,0.0000,0.0000,0.7421,-0.6260,-0.2395,0.7438,-0.6667,0.0481,0.7332,-0.6714,-0.1085,0.4054,0.0002,-0.1525,Dark,,""
1.0475,4.6384,6.3474,0.0000,0.0000,0.7666,-0.5962,-0.2385,0.7693,-0.6368,0.0520,0.7591,-0.6422,-0.1062,0.3499,0.0056,-0.1558,Dark,,""
1.2523,4.2424,5.9379,0.0000,0.0000,0.9446,-0.3172,-0.0840,0.9263,-0.3289,0.1840,0.9360,-0.3496,0.0408,0.3030,0.0090,-0.1600,Dark,,""
1.4573,4.0936,5.7975,0.0000,0.0000,0.9524,-0.2769,-0.1274,0.9552,-0.2838,0.0836,0.9532,-0.3009,-0.0294,0.2415,0.0140,-0.1739,Dark,,""
1.6604,4.0371,5.7299,0.0000,0.0000,0.9356,-0.2725,-0.2245,0.9586,-0.2798,-0.0536,0.9449,-0.2929,-0.1458,0.2101,0.0118,-0.1793,Dark,,""
1.8638,4.2003,5.9182,0.0000,0.0000,0.9178,-0.3083,-0.2501,0.9441,-0.3172,-0.0898,0.9280,-0.3285,-0.1761,0.1976,0.0083,-0.1773,Dark,,""
2.0655,4.0765,5.8469,0.0000,0.0000,0.9236,-0.3035,-0.2343,0.9462,-0.3127,-0.0833,0.9321,-0.3227,-0.1645,0.1855,0.0052,-0.1758,Dark,,""
2.2726,4.1583,6.0166,0.0000,0.0000,0.9334,-0.2778,-0.2270,0.9553,-0.2845,-0.0807,0.9421,-0.2953,-0.1591,0.1843,0.0064,-0.1811,Dark,,""
2.4760,4.4928,6.3561,0.0000,0.0000,0.8047,-0.4754,-0.3556,0.8505,-0.4880,-0.1965,0.8210,-0.4969,-0.2813,0.1955,-0.0180,-0.2040,Dark,,""
2.6791,4.5694,6.5118,0.0000,0.0000,0.4180,-0.7512,-0.5109,0.5146,-0.8150,-0.2664,0.4465,-0.8021,-0.3966,0.2058,-0.0384,-0.2261,Dark,,""
2.8854,4.4338,6.4004,0.0000,0.0000,0.5185,-0.6305,-0.5776,0.6624,-0.6985,-0.2707,0.5683,-0.6952,-0.4402,0.2104,-0.0454,-0.2324,Dark,,""
3.0868,4.4114,6.2537,0.0000,0.0000,0.5305,-0.6420,-0.5536,0.6701,-0.7023,-0.2403,0.5791,-0.7035,-0.4120,0.2085,-0.0445,-0.2357,Dark,,""
3.2912,4.1448,5.9080,0.0000,0.0000,0.5539,-0.6165,-0.5596,0.6945,-0.6695,-0.2636,0.6047,-0.6734,-0.4253,0.2062,-0.0437,-0.2388,Dark,,""
3.4965,4.0541,5.7307,0.0000,0.0000,0.5824,-0.6035,-0.5445,0.7185,-0.6486,-0.2511,0.6328,-0.6565,-0.4106,0.2071,-0.0429,-0.2389,Dark,,""
3.6982,4.1586,5.7469,0.0000,0.0000,0.5894,-0.6062,-0.5340,0.7217,-0.6496,-0.2393,0.6382,-0.6583,-0.3993,0.2089,-0.0438,-0.2384,Dark,,""
3.9042,4.2533,5.8198,0.0000,0.0000,0.6416,-0.7210,-0.2619,0.7096,-0.7005,0.0763,0.6613,-0.7440,-0.0956,0.2108,-0.0460,-0.2371,Dark,,""
4.1047,4.1416,5.5320,0.0000,0.0000,0.7507,-0.6578,-0.0614,0.7610,-0.5960,0.2562,0.7454,-0.6588,0.1016,0.2148,-0.0511,-0.2327,Dark,,""
4.3085,3.9363,5.4255,0.0000,0.0000,0.7485,-0.5558,-0.3617,0.8305,-0.5535,-0.0629,0.7805,-0.5855,-0.2192,0.2189,-0.0555,-0.2373,Dark,,""
4.5110,4.4193,6.0852,0.0000,0.0000,0.5385,-0.6503,-0.5359,0.6410,-0.6843,-0.3476,0.5756,-0.6851,-0.4464,0.2285,-0.0685,-0.2555,Dark,,""
4.7127,4.4243,6.0449,0.0000,0.0000,0.3615,-0.7452,-0.5604,0.4798,-0.7986,-0.3634,0.4022,-0.7885,-0.4653,0.2445,-0.0779,-0.2683,Dark,,""
4.9164,4.5902,6.2508,0.0000,0.0000,0.3144,-0.8588,-0.4045,0.4212,-0.8887,-0.1809,0.3489,-0.8900,-0.2935,0.2770,-0.0979,-0.2830,Dark,,""
5.1183,4.5907,6.2957,0.0000,0.0000,0.2360,-0.9175,-0.3203,0.3498,-0.9349,-0.0604,0.2706,-0.9438,-0.1898,0.3062,-0.1246,-0.2926,Dark,,""
5.3207,4.5277,6.1867,0.0000,0.0000,0.1736,-0.9458,-0.2744,0.2858,-0.9580,-0.0251,0.2074,-0.9670,-0.1478,0.3411,-0.1490,-0.2975,Dark,,""
5.5232,4.5776,6.2559,0.0000,0.0000,0.1550,-0.9505,-0.2695,0.2664,-0.9634,-0.0293,0.1887,-0.9710,-0.1472,0.3930,-0.1722,-0.2993,Dark,,""
5.7263,4.6388,6.4668,0.0000,0.0000,0.2412,-0.9195,-0.3105,0.3773,-0.9204,-0.1025,0.2910,-0.9351,-0.2022,0.4745,-0.1937,-0.3225,Dark,,""
5.9305,4.8553,6.6243,0.0000,0.0000,0.0972,-0.9688,-0.2279,0.2347,-0.9704,-0.0567,0.1491,-0.9794,-0.1360,0.5316,-0.2953,-0.3755,Dark,,""
6.1325,4.5188,6.3205,0.0000,0.0000,0.1128,-0.9688,-0.2206,0.2641,-0.9614,-0.0774,0.1728,-0.9749,-0.1404,0.5405,-0.3534,-0.4368,Dark,,""
6.3386,4.6575,6.4118,0.0000,0.0000,0.1200,-0.9728,-0.1982,0.2868,-0.9573,-0.0369,0.1855,-0.9767,-0.1081,0.5371,-0.3638,-0.4661,Dark,,""
